"CustomerID","Genre","Age","Annual Income (k$)","Spending Score (1-100)","",""
"0001","Male","19","15","39","0","1"
"0002","Male","21","15","81","0","1"
"0003","Female","20","16","6","1","2"
"0004","Female","23","16","77","0","1"
"0005","Female","31","17","40","0","1"
"0006","Female","22","17","76","0","1"
"0007","Female","35","18","6","1","2"
"0008","Female","23","18","94","0","1"
"0009","Male","64","19","3","1","2"
"0010","Female","30","19","72","0","1"
"0011","Male","67","19","14","1","2"
"0012","Female","35","19","99","0","1"
"0013","Female","58","20","15","1","2"
"0014","Female","24","20","77","0","1"
"0015","Male","37","20","13","1","2"
"0016","Male","22","20","79","0","1"
"0017","Female","35","21","35","0","1"
"0018","Male","20","21","66","0","1"
"0019","Male","52","23","29","0","1"
"0020","Female","35","23","98","0","1"
"0021","Male","35","24","35","0","1"
"0022","Male","25","24","73","0","1"
"0023","Female","46","25","5","1","2"
"0024","Male","31","25","73","0","1"
"0025","Female","54","28","14","1","2"
"0026","Male","29","28","82","0","1"
"0027","Female","45","28","32","0","1"
"0028","Male","35","28","61","0","1"
"0029","Female","40","29","31","0","1"
"0030","Female","23","29","87","0","1"
"0031","Male","60","30","4","1","2"
"0032","Female","21","30","73","0","1"
"0033","Male","53","33","4","1","2"
"0034","Male","18","33","92","0","1"
"0035","Female","49","33","14","1","2"
"0036","Female","21","33","81","0","1"
"0037","Female","42","34","17","1","2"
"0038","Female","30","34","73","0","1"
"0039","Female","36","37","26","1","2"
"0040","Female","20","37","75","0","1"
"0041","Female","65","38","35","0","1"
"0042","Male","24","38","92","0","1"
"0043","Male","48","39","36","0","1"
"0044","Female","31","39","61","0","1"
"0045","Female","49","39","28","1","2"
"0046","Female","24","39","65","0","1"
"0047","Female","50","40","55","0","1"
"0048","Female","27","40","47","0","1"
"0049","Female","29","40","42","0","1"
"0050","Female","31","40","42","0","1"
"0051","Female","49","42","52","0","1"
"0052","Male","33","42","60","0","1"
"0053","Female","31","43","54","0","1"
"0054","Male","59","43","60","0","1"
"0055","Female","50","43","45","0","1"
"0056","Male","47","43","41","0","1"
"0057","Female","51","44","50","0","1"
"0058","Male","69","44","46","0","1"
"0059","Female","27","46","51","0","1"
"0060","Male","53","46","46","0","1"
"0061","Male","70","46","56","0","1"
"0062","Male","19","46","55","0","1"
"0063","Female","67","47","52","0","1"
"0064","Female","54","47","59","0","1"
"0065","Male","63","48","51","0","1"
